OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_ID,FSQ_Category_Label,FSQ_Category_Primary,FSQ_Category_Secondary,Match_Score,Match_Quality,Review_Reason
hotel_supply_service,Accommodation & Lodging,Business-to-Business,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,0.667,Medium,Accommodation category mismatch
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,13028,Dining and Drinking > Breakfast Spot,Dining and Drinking , Breakfast Spot,0.581,Low,Low similarity score
motel,Accommodation & Lodging,Accommodation & Lodging,16050,Landmarks and Outdoors > Tunnel,Landmarks and Outdoors , Tunnel,0.545,Low,Low similarity score
cottage,Accommodation & Lodging,Accommodation & Lodging,16012,Landmarks and Outdoors > Cave,Landmarks and Outdoors , Cave,0.545,Low,Low similarity score
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,12064,Community and Government > Government Building,Community and Government , Government Building,0.486,Low,Low similarity score
houseboat,Accommodation & Lodging,Accommodation & Lodging,11174,Business and Professional Services > Warehouse,Business and Professional Services , Warehouse,0.556,Low,Low similarity score
inn,Accommodation & Lodging,Accommodation & Lodging,14008,Event > Line,Event , Line,0.571,Low,Low similarity score
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,19006,Travel and Transportation > Electric Vehicle Charging Station,Travel and Transportation , Electric Vehicle Charging Station,0.5,Low,Low similarity score; Accommodation category mismatch
hotel,Accommodation & Lodging,Accommodation & Lodging,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.615,Medium,Accommodation category mismatch
service_apartments,Accommodation & Lodging,Accommodation & Lodging,17033,Retail > Department Store,Retail , Department Store,0.588,Low,Low similarity score
condominium,Accommodation & Lodging,Accommodation & Lodging,14002,Event > Convention,Event , Convention,0.476,Low,Low similarity score
accommodation,Accommodation & Lodging,Accommodation & Lodging,12009,Community and Government > Education,Community and Government , Education,0.545,Low,Low similarity score; Accommodation category mismatch
pumpkin_patch,Agriculture & Farming,Agriculture & Farming,12116,Community and Government > Polling Place,Community and Government , Polling Place,0.538,Low,Low similarity score
grain_elevators,Agriculture & Farming,Agriculture & Farming,17081,Retail > Framing Store,Retail , Framing Store,0.571,Low,Low similarity score
agriculture_association,Agriculture & Farming,Agriculture & Farming,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,0.582,Low,Low similarity score
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.549,Low,Low similarity score
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming,10000,Arts and Entertainment,Arts and Entertainment,,0.489,Low,Low similarity score
clown,Arts & Entertainment,Arts & Entertainment,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.5,Low,Low similarity score
agricultural_production,Arts & Entertainment,Arts & Entertainment,12005,Community and Government > Cultural Center,Community and Government , Cultural Center,0.526,Low,Low similarity score
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.5,Low,Low similarity score
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,11000,Business and Professional Services,Business and Professional Services,,0.5,Low,Low similarity score
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,11162,Business and Professional Services > Security and Safety,Business and Professional Services , Security and Safety,0.571,Low,Low similarity score
general_festivals,Arts & Entertainment,Arts & Entertainment,11106,Business and Professional Services > Industrial Estate,Business and Professional Services , Industrial Estate,0.529,Low,Low similarity score
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,11006,Business and Professional Services > Audiovisual Service,Business and Professional Services , Audiovisual Service,0.566,Low,Low similarity score
crops_production,Arts & Entertainment,Arts & Entertainment,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.571,Low,Low similarity score
choir,Arts & Entertainment,Arts & Entertainment,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,0.545,Low,Low similarity score
festival,Arts & Entertainment,Arts & Entertainment,13037,Dining and Drinking > Cafeteria,Dining and Drinking , Cafeteria,0.588,Low,Low similarity score
orchards_production,Arts & Entertainment,Arts & Entertainment,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.522,Low,Low similarity score
commissioned_artist,Arts & Entertainment,Arts & Entertainment,11170,Business and Professional Services > Telecommunication Service,Business and Professional Services , Telecommunication Service,0.5,Low,Low similarity score
video_film_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,0.533,Low,Low similarity score
theatrical_productions,Arts & Entertainment,Arts & Entertainment,15025,Health and Medicine > Other Healthcare Professional,Health and Medicine , Other Healthcare Professional,0.549,Low,Low similarity score
music_production,Arts & Entertainment,Arts & Entertainment,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.571,Low,Low similarity score
magician,Arts & Entertainment,Arts & Entertainment,15027,Health and Medicine > Physician,Health and Medicine , Physician,0.588,Low,Low similarity score
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.538,Low,Low similarity score
grain_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,0.56,Low,Low similarity score
commercial_vehicle_dealer,Automotive,Automotive,19006,Travel and Transportation > Electric Vehicle Charging Station,Travel and Transportation , Electric Vehicle Charging Station,0.483,Low,Low similarity score
emissions_inspection,Automotive,Automotive,18000,Sports and Recreation,Sports and Recreation,,0.537,Low,Low similarity score
b2b_forklift_dealers,Automotive,Business-to-Business,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.485,Low,Low similarity score
coin_dealers,Automotive,Automotive,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.56,Low,Low similarity score
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.5,Low,Low similarity score
automotive_parts_and_accessories,Automotive,Automotive,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.566,Low,Low similarity score
wheel_and_rim_repair,Automotive,Automotive,15000,Health and Medicine,Health and Medicine,,0.513,Low,Low similarity score
forklift_dealer,Automotive,Automotive,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.56,Low,Low similarity score
car_buyer,Automotive,Automotive,19005,Travel and Transportation > Cruise,Travel and Transportation , Cruise,0.533,Low,Low similarity score
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,11032,Business and Professional Services > Electrical Equipment Supplier,Business and Professional Services , Electrical Equipment Supplier,0.486,Low,Low similarity score
boat_service_and_repair,Automotive,Automotive,18000,Sports and Recreation,Sports and Recreation,,0.545,Low,Low similarity score
motorcycle_dealer,Automotive,Automotive,11117,Business and Professional Services > Lottery Retailer,Business and Professional Services , Lottery Retailer,0.545,Low,Low similarity score
car_wash,Automotive,Automotive,10007,Arts and Entertainment > Carnival,Arts and Entertainment , Carnival,0.5,Low,Low similarity score
brake_service_and_repair,Automotive,Automotive,11184,Business and Professional Services > Creative Service,Business and Professional Services , Creative Service,0.55,Low,Low similarity score
exhaust_and_muffler_repair,Automotive,Automotive,17023,Retail > Computers and Electronics Retail,Retail , Computers and Electronics Retail,0.517,Low,Low similarity score
car_broker,Automotive,Automotive,17037,Retail > Eyecare Store,Retail , Eyecare Store,0.522,Low,Low similarity score
car_window_tinting,Automotive,Automotive,19000,Travel and Transportation,Travel and Transportation,,0.465,Low,Low similarity score
tire_dealer_and_repair,Automotive,Automotive,19000,Travel and Transportation,Travel and Transportation,,0.553,Low,Low similarity score
bike_repair_maintenance,Automotive,Automotive,19002,Travel and Transportation > Bike Rental,Travel and Transportation , Bike Rental,0.588,Low,Low similarity score
trucks_and_industrial_vehicles,Automotive,Automotive,12091,Community and Government > Public and Social Service,Community and Government , Public and Social Service,0.582,Low,Low similarity score
b2b_autos_and_vehicles,Automotive,Business-to-Business,16061,Landmarks and Outdoors > States and Municipalities,Landmarks and Outdoors , States and Municipalities,0.553,Low,Low similarity score
auto_security,Automotive,Automotive,17004,Retail > Auction House,Retail , Auction House,0.538,Low,Low similarity score
motorcycle_gear,Automotive,Automotive,12114,Community and Government > Trailer Park,Community and Government , Trailer Park,0.519,Low,Low similarity score
car_stereo_installation,Automotive,Automotive,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.514,Low,Low similarity score
it_service_and_computer_repair,Automotive,Automotive,11027,Business and Professional Services > Computer Repair Service,Business and Professional Services , Computer Repair Service,0.566,Low,Low similarity score
truck_dealer_for_businesses,Automotive,Automotive,11108,Business and Professional Services > Technology Business > IT Service,Business and Professional Services , Technology Business ,0.565,Low,Low similarity score
home_automation,Automotive,Automotive,19007,Travel and Transportation > Fuel Station,Travel and Transportation , Fuel Station,0.593,Low,Low similarity score
hybrid_car_repair,Automotive,Automotive,11025,Business and Professional Services > Child Care Service,Business and Professional Services , Child Care Service,0.571,Low,Low similarity score
diamond_dealer,Automotive,Automotive,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.519,Low,Low similarity score
auto_loan_provider,Automotive,Automotive,17004,Retail > Auction House,Retail , Auction House,0.516,Low,Low similarity score
aircraft_repair,Automotive,Automotive,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.556,Low,Low similarity score
water_heater_installation_repair,Automotive,Automotive,11158,Business and Professional Services > Research Station,Business and Professional Services , Research Station,0.5,Low,Low similarity score
vehicle_wrap,Automotive,Automotive,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.522,Low,Low similarity score
recreational_vehicle_parts_and_accessories,Automotive,Automotive,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.528,Low,Low similarity score
vehicle_shipping,Automotive,Automotive,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.538,Low,Low similarity score
windshield_installation_and_repair,Automotive,Automotive,19028,Travel and Transportation > Tourist Information and Service,Travel and Transportation , Tourist Information and Service,0.523,Low,Low similarity score
auto_electrical_repair,Automotive,Automotive,17023,Retail > Computers and Electronics Retail,Retail , Computers and Electronics Retail,0.593,Low,Low similarity score
home_window_tinting,Automotive,Automotive,11076,Business and Professional Services > Home Improvement Service,Business and Professional Services , Home Improvement Service,0.465,Low,Low similarity score
bathtub_and_sink_repairs,Automotive,Automotive,15000,Health and Medicine,Health and Medicine,,0.512,Low,Low similarity score
car_sharing,Automotive,Automotive,10008,Arts and Entertainment > Casino,Arts and Entertainment , Casino,0.588,Low,Low similarity score
generator_installation_repair,Automotive,Automotive,11171,Business and Professional Services > Translation Service,Business and Professional Services , Translation Service,0.542,Low,Low similarity score
b2b_tractor_dealers,Automotive,Automotive,17014,Retail > Baby Store,Retail , Baby Store,0.483,Low,Low similarity score
mobile_dent_repair,Automotive,Automotive,16004,Landmarks and Outdoors > Bike Trail,Landmarks and Outdoors , Bike Trail,0.571,Low,Low similarity score
livestock_dealers,Automotive,Automotive,10053,Arts and Entertainment > Ticket Seller,Arts and Entertainment , Ticket Seller,0.533,Low,Low similarity score
fuel_dock,Automotive,Automotive,11059,Business and Professional Services > Funeral Home,Business and Professional Services , Funeral Home,0.571,Low,Low similarity score
ceiling_and_roofing_repair_and_service,Automotive,Construction & Contractors,11027,Business and Professional Services > Computer Repair Service,Business and Professional Services , Computer Repair Service,0.59,Low,Low similarity score
furniture_reupholstery,Automotive,Automotive,16028,Landmarks and Outdoors > Nature Preserve,Landmarks and Outdoors , Nature Preserve,0.595,Low,Low similarity score
muay_thai_club,Beauty & Wellness,Beauty & Wellness,10049,Arts and Entertainment > Salsa Club,Arts and Entertainment , Salsa Club,0.583,Low,Low similarity score
boot_camp,Beauty & Wellness,Beauty & Wellness,15005,Health and Medicine > Blood Bank,Health and Medicine , Blood Bank,0.526,Low,Low similarity score
boxing_class,Beauty & Wellness,Beauty & Wellness,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.56,Low,Low similarity score
laser_hair_removal,Beauty & Wellness,Beauty & Wellness,17039,Retail > Fashion Retail,Retail , Fashion Retail,0.562,Low,Low similarity score
beauty_salon,Beauty & Wellness,Beauty & Wellness,11173,Business and Professional Services > TV Station,Business and Professional Services , TV Station,0.545,Low,Low similarity score
tattoo_removal,Beauty & Wellness,Beauty & Wellness,17005,Retail > Automotive Retail,Retail , Automotive Retail,0.581,Low,Low similarity score
kickboxing_club,Beauty & Wellness,Beauty & Wellness,10011,Arts and Entertainment > Country Club,Arts and Entertainment , Country Club,0.593,Low,Low similarity score
reiki,Beauty & Wellness,Beauty & Wellness,17000,Retail,Retail,,0.545,Low,Low similarity score
hair_extensions,Beauty & Wellness,Beauty & Wellness,11144,Business and Professional Services > Radio Station,Business and Professional Services , Radio Station,0.5,Low,Low similarity score
boudoir_photography,Beauty & Wellness,Beauty & Wellness,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,0.579,Low,Low similarity score
tanning_bed,Beauty & Wellness,Beauty & Wellness,10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe,0.545,Low,Low similarity score
fitness_exercise_equipment,Beauty & Wellness,Beauty & Wellness,11105,Business and Professional Services > Industrial Equipment Supplier,Business and Professional Services , Industrial Equipment Supplier,0.509,Low,Low similarity score
float_spa,Beauty & Wellness,Beauty & Wellness,17055,Retail > Floating Market,Retail , Floating Market,0.583,Low,Low similarity score
hair_removal,Beauty & Wellness,Beauty & Wellness,17039,Retail > Fashion Retail,Retail , Fashion Retail,0.538,Low,Low similarity score
day_spa,Beauty & Wellness,Beauty & Wellness,16013,Landmarks and Outdoors > Dive Spot,Landmarks and Outdoors , Dive Spot,0.5,Low,Low similarity score
massage,Beauty & Wellness,Beauty & Wellness,11121,Business and Professional Services > Media Agency,Business and Professional Services , Media Agency,0.526,Low,Low similarity score
tattoo,Beauty & Wellness,Beauty & Wellness,11166,Business and Professional Services > Tailor,Business and Professional Services , Tailor,0.5,Low,Low similarity score
brazilian_jiu_jitsu_club,Beauty & Wellness,Beauty & Wellness,10049,Arts and Entertainment > Salsa Club,Arts and Entertainment , Salsa Club,0.471,Low,Low similarity score
tanning_salon,Beauty & Wellness,Beauty & Wellness,17015,Retail > Betting Shop,Retail , Betting Shop,0.56,Low,Low similarity score
hair_stylist,Beauty & Wellness,Beauty & Wellness,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,0.545,Low,Low similarity score
spas,Beauty & Wellness,Beauty & Wellness,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.5,Low,Low similarity score
kids_hair_salon,Beauty & Wellness,Beauty & Wellness,15002,Health and Medicine > AIDS Resource,Health and Medicine , AIDS Resource,0.5,Low,Low similarity score
taekwondo_club,Beauty & Wellness,Beauty & Wellness,10010,Arts and Entertainment > Comedy Club,Arts and Entertainment , Comedy Club,0.56,Low,Low similarity score
newspaper_advertising,Beauty & Wellness,Beauty & Wellness,11188,Business and Professional Services > Online Advertising Service,Business and Professional Services , Online Advertising Service,0.596,Low,Low similarity score
hair_replacement,Beauty & Wellness,Beauty & Wellness,14009,Event > Marketplace,Event , Marketplace,0.593,Low,Low similarity score
makeup_artist,Beauty & Wellness,Beauty & Wellness,17144,Retail > Market,Retail , Market,0.526,Low,Low similarity score
permanent_makeup,Beauty & Wellness,Beauty & Wellness,12095,Community and Government > Retirement Home,Community and Government , Retirement Home,0.581,Low,Low similarity score
b2b_science_and_technology,Business-to-Business,Business-to-Business,10046,Arts and Entertainment > Psychic and Astrologer,Arts and Entertainment , Psychic and Astrologer,0.583,Low,Low similarity score
b2b_dairies,Business-to-Business,Business-to-Business,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.476,Low,Low similarity score
b2b_jewelers,Business-to-Business,Business-to-Business,13029,Dining and Drinking > Brewery,Dining and Drinking , Brewery,0.526,Low,Low similarity score
b2b_machinery_and_tools,Business-to-Business,Business-to-Business,16000,Landmarks and Outdoors,Landmarks and Outdoors,,0.533,Low,Low similarity score
elder_care_planning,Community & Social Services,Community & Social Services,15011,Health and Medicine > Healthcare Clinic,Health and Medicine , Healthcare Clinic,0.556,Low,Low similarity score
volunteer_association,Community & Social Services,Community & Social Services,12082,Community and Government > Organization,Community and Government , Organization,0.485,Low,Low similarity score
homeowner_association,Community & Social Services,Community & Social Services,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.485,Low,Low similarity score
welders,Community & Social Services,Community & Social Services,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.588,Low,Low similarity score
blood_and_plasma_donation_center,Community & Social Services,Community & Social Services,11029,Business and Professional Services > Convention Center,Business and Professional Services , Convention Center,0.531,Low,Low similarity score
labor_union,Community & Social Services,Community & Social Services,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,0.571,Low,Low similarity score
community_services_non_profits,Community & Social Services,Community & Social Services,11170,Business and Professional Services > Telecommunication Service,Business and Professional Services , Telecommunication Service,0.582,Low,Low similarity score
private_association,Community & Social Services,Community & Social Services,18000,Sports and Recreation,Sports and Recreation,,0.55,Low,Low similarity score
packaging_contractors_and_service,Construction & Contractors,Construction & Contractors,11004,Business and Professional Services > Art Restoration Service,Business and Professional Services , Art Restoration Service,0.571,Low,Low similarity score
kitchen_remodeling,Construction & Contractors,Construction & Contractors,12117,Community and Government > Assisted Living,Community and Government , Assisted Living,0.485,Low,Low similarity score
plumbing,Construction & Contractors,Construction & Contractors,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.533,Low,Low similarity score
roofing,Construction & Contractors,Construction & Contractors,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.571,Low,Low similarity score
closet_remodeling,Construction & Contractors,Construction & Contractors,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.519,Low,Low similarity score
logging_contractor,Construction & Contractors,Construction & Contractors,11116,Business and Professional Services > Logging Service,Business and Professional Services , Logging Service,0.545,Low,Low similarity score
stone_and_masonry,Construction & Contractors,Construction & Contractors,17082,Retail > Furniture and Home Store,Retail , Furniture and Home Store,0.537,Low,Low similarity score
boat_builder,Construction & Contractors,Construction & Contractors,19064,Travel and Transportation > Boat or Ferry,Travel and Transportation , Boat or Ferry,0.56,Low,Low similarity score
paving_contractor,Construction & Contractors,Construction & Contractors,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,0.552,Low,Low similarity score
masonry_contractors,Construction & Contractors,Construction & Contractors,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.516,Low,Low similarity score
face_painting,Construction & Contractors,Construction & Contractors,14002,Event > Convention,Event , Convention,0.522,Low,Low similarity score
insulation_installation,Construction & Contractors,Construction & Contractors,17131,Retail > Stationery Store,Retail , Stationery Store,0.513,Low,Low similarity score
flooring_contractors,Construction & Contractors,Construction & Contractors,17081,Retail > Framing Store,Retail , Framing Store,0.545,Low,Low similarity score
altering_and_remodeling_contractor,Construction & Contractors,Construction & Contractors,18051,Sports and Recreation > Running and Track,Sports and Recreation , Running and Track,0.51,Low,Low similarity score
building_contractor,Construction & Contractors,Construction & Contractors,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,0.581,Low,Low similarity score
masonry_concrete,Construction & Contractors,Construction & Contractors,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.571,Low,Low similarity score
bathroom_remodeling,Construction & Contractors,Construction & Contractors,17093,Retail > Leather Goods Store,Retail , Leather Goods Store,0.474,Low,Low similarity score
childproofing,Construction & Contractors,Construction & Contractors,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.522,Low,Low similarity score
builders,Construction & Contractors,Construction & Contractors,13038,Dining and Drinking > Cidery,Dining and Drinking , Cidery,0.571,Low,Low similarity score
science_schools,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.593,Low,Low similarity score
cardio_classes,Education,Exercise/Wellness,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.514,Low,Low similarity score
cpr_classes,Education,Education,10054,Arts and Entertainment > VR Cafe,Arts and Entertainment , VR Cafe,0.556,Low,Low similarity score
wine_tasting_classes,Education,Education,17092,Retail > Knitting Store,Retail , Knitting Store,0.529,Low,Low similarity score
parenting_classes,Education,Education,10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe,0.571,Low,Low similarity score
self_defense_classes,Education,Exercise/Wellness,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.439,Low,Low similarity score
day_care_preschool,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.533,Low,Low similarity score
life_coach,Education,Education,16003,Landmarks and Outdoors > Beach,Landmarks and Outdoors , Beach,0.533,Low,Low similarity score
montessori_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.552,Low,Low similarity score
first_aid_class,Education,Education,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.556,Low,Low similarity score
vocational_and_technical_school,Education,Education,11194,"Business and Professional Services > Writing, Copywriting and Technical Writing Service",Business and Professional Services ," Writing, Copywriting and Technical Writing Service",0.519,Low,Low similarity score
cooking_classes,Education,Education,12116,Community and Government > Polling Place,Community and Government , Polling Place,0.571,Low,Low similarity score
preschool,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.571,Low,Low similarity score
religious_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.571,Low,Low similarity score
after_school_program,Education,Education,10033,Arts and Entertainment > Pachinko Parlor,Arts and Entertainment , Pachinko Parlor,0.514,Low,Low similarity score
student_union,Education,Education,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.56,Low,Low similarity score
university_housing,Education,Education,12115,Community and Government > Utility Company,Community and Government , Utility Company,0.485,Low,Low similarity score
computer_coaching,Education,Education,19004,Travel and Transportation > Border Crossing,Travel and Transportation , Border Crossing,0.562,Low,Low similarity score
cooking_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.538,Low,Low similarity score
coach_bus,Education,Transportation,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,0.533,Low,Low similarity score
college_university,Education,Education,11165,Business and Professional Services > Storage Facility,Business and Professional Services , Storage Facility,0.471,Low,Low similarity score
credit_union,Financial Services,Financial Services,11152,Business and Professional Services > Recording Studio,Business and Professional Services , Recording Studio,0.571,Low,Low similarity score
installment_loans,Financial Services,Financial Services,10020,Arts and Entertainment > Internet Cafe,Arts and Entertainment , Internet Cafe,0.533,Low,Low similarity score
bank_credit_union,Financial Services,Financial Services,18000,Sports and Recreation,Sports and Recreation,,0.526,Low,Low similarity score
currency_exchange,Financial Services,Financial Services,15008,Health and Medicine > Emergency Service,Health and Medicine , Emergency Service,0.529,Low,Low similarity score
livestock_breeder,Financial Services,Financial Services,17136,Retail > Vape Store,Retail , Vape Store,0.519,Low,Low similarity score
customs_broker,Financial Services,Financial Services,17035,Retail > Drugstore,Retail , Drugstore,0.522,Low,Low similarity score
atms,Financial Services,Financial Services,16056,Landmarks and Outdoors > Dam,Landmarks and Outdoors , Dam,0.571,Low,Low similarity score
stock_and_bond_brokers,Financial Services,Financial Services,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.531,Low,Low similarity score
banks,Financial Services,Financial Services,13002,Dining and Drinking > Bakery,Dining and Drinking , Bakery,0.545,Low,Low similarity score
mortgage_lender,Financial Services,Financial Services,10022,Arts and Entertainment > Laser Tag Center,Arts and Entertainment , Laser Tag Center,0.581,Low,Low similarity score
home_and_rental_insurance,Financial Services,Financial Services,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.571,Low,Low similarity score
check_cashing_payday_loans,Financial Services,Financial Services,17106,Retail > Packaging Supply Store,Retail , Packaging Supply Store,0.458,Low,Low similarity score
ice_cream_and_frozen_yoghurt,Food & Dining,Food & Dining,10046,Arts and Entertainment > Psychic and Astrologer,Arts and Entertainment , Psychic and Astrologer,0.48,Low,Low similarity score
